dataset_name,algorithm_name,anchor_model_file_name,image_name,varroa_count,window_count,candidate_count,final_detection_count,threshold_column,threshold_value,score_threshold,stride_divisor,stride,cluster_iou_threshold,weighted_box_size_factor,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,precision_iou_0_1,recall_iou_0_1,f1_iou_0_1,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,precision_iou_0_3,recall_iou_0_3,f1_iou_0_3
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1658-53235-1_png.rf.bd04543b6efe7ffc2701a18e99db90f0.jpg,0,841,0,0,score_threshold,1.0,1.0,4,20,0.2,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1661-53325-1_png.rf.ac89e2360c163273591ae0b99680dd05.jpg,1,841,17,3,score_threshold,1.0,1.0,4,20,0.2,1.0,1,2,0,0.3333333333333333,1.0,0.5,1,2,0,0.3333333333333333,1.0,0.5
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1811-57990-1_png.rf.01c831e68f1d0670b96e03e0b74e524e.jpg,0,841,11,5,score_threshold,1.0,1.0,4,20,0.2,1.0,0,5,0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1822-58485-1_png.rf.9bcda1d0f82948e0650ae737e80e438f.jpg,1,841,8,3,score_threshold,1.0,1.0,4,20,0.2,1.0,1,2,0,0.3333333333333333,1.0,0.5,1,2,0,0.3333333333333333,1.0,0.5
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1829-59775-1_png.rf.9e2a312cab628792eedc2aae4961b912.jpg,0,841,7,2,score_threshold,1.0,1.0,4,20,0.2,1.0,0,2,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1838-61545-1_png.rf.cc8b9a2b522b1fa121229914bf022b32.jpg,3,841,12,3,score_threshold,1.0,1.0,4,20,0.2,1.0,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1870-64335-1_png.rf.8e07540322aa7d036926413a06a4c28d.jpg,0,841,17,4,score_threshold,1.0,1.0,4,20,0.2,1.0,0,4,0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1913-68400-1_png.rf.216927a6fdd2fc7da914593fbdefaa0d.jpg,3,841,10,3,score_threshold,1.0,1.0,4,20,0.2,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_2057-78630-1_png.rf.0327d139f21dc5e38951f8963ee09cf6.jpg,0,841,7,2,score_threshold,1.0,1.0,4,20,0.2,1.0,0,2,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_2097-81180-1_png.rf.22d2f1b3295a999948e9bebf09eceed5.jpg,0,841,14,5,score_threshold,1.0,1.0,4,20,0.2,1.0,0,5,0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_2154-84825-1_png.rf.f226d6c7bec65ea096f185927fab590a.jpg,0,841,0,0,score_threshold,1.0,1.0,4,20,0.2,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_2158-84945-1_png.rf.a5f00ef5202e124eea025d19e180b2e4.jpg,1,841,1,1,score_threshold,1.0,1.0,4,20,0.2,1.0,1,0,0,1.0,1.0,1.0,1,0,0,1.0,1.0,1.0
