rank_iou_0_2,dataset_name,algorithm_name,patch_set,feature_set,model_file_name,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,detection_recall_iou_0_3,rank_iou_0_3
72,dataset1_varroa,linear_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.6,4,0.3,1.0,0.4069767441860465,0.2414285714285714,0.4338842975206611,0.3914728682170543,0.2471428571428571,0.4173553719008264,17
73,dataset1_varroa,linear_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.6,4,0.25,1.25,0.4069767441860465,0.2414285714285714,0.4338842975206611,0.3837209302325581,0.25,0.4090909090909091,18
74,dataset1_varroa,linear_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.6,4,0.3,1.25,0.4069767441860465,0.2414285714285714,0.4338842975206611,0.3837209302325581,0.25,0.4090909090909091,19
75,dataset2_honeybee,linear_svm,centered48_neg4x,hog16_pca_hsv_lbp,d2_linsvm_024__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.4,4,0.2,1.25,0.4059511158342189,0.35,0.3782178217821782,0.1912858660998937,0.4942857142857143,0.1782178217821782,129
76,dataset2_honeybee,linear_svm,centered48_balanced,hog8_pca_hsv_lbp,d2_linsvm_008__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.8,4,0.3,1.0,0.4042715484363081,0.7728571428571429,0.5247524752475248,0.3020594965675057,0.8685714285714285,0.3920792079207921,77
77,dataset1_varroa,linear_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.6,4,0.2,1.25,0.4041237113402062,0.2071428571428571,0.4049586776859504,0.3711340206185566,0.2185714285714285,0.371900826446281,27
78,dataset2_honeybee,rbf_svm,centered48_balanced,hog16_pca_hsv_lbp,d2_rbfsvm_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,1.2,4,0.3,1.25,0.4020100502512563,0.6414285714285715,0.4752475247524752,0.1993299832495812,0.8142857142857143,0.2356435643564356,127
79,dataset1_varroa,linear_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.6,4,0.2,1.0,0.4000000000000001,0.2085714285714285,0.4008264462809917,0.3835051546391752,0.2142857142857142,0.384297520661157,20
80,dataset2_honeybee,rbf_svm,centered48_balanced,hog8_pca_hsv_lbp,d2_rbfsvm_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.9,4,0.25,1.25,0.392094861660079,0.7314285714285714,0.4910891089108911,0.1770750988142292,0.9257142857142856,0.2217821782178217,137
81,dataset2_honeybee,linear_svm,centered48_balanced,hog8_pca_hsv_lbp,d2_linsvm_008__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.8,4,0.2,1.25,0.3909249563699826,0.5957142857142858,0.4435643564356435,0.1832460732984293,0.7657142857142857,0.2079207920792079,135
