rank_iou_0_2,dataset_name,algorithm_name,patch_set,feature_set,model_file_name,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,detection_recall_iou_0_3,rank_iou_0_3
68,dataset2_honeybee,random_forest,centered48_balanced,hog16_pca_hsv_lbp,d2_rf_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.9,4,0.2,1.25,0.4494845360824742,0.15,0.362126245847176,0.1938144329896907,0.274,0.1561461794019933,122
69,dataset1_varroa,rbf_svm,centered80_balanced,hog8_pca_hsv_lbp,d1_rbfsvm_005__centered80_balanced__hog8_pca_hsv_lbp.joblib,1.3,4,0.2,1.25,0.4490445859872611,0.358,0.4577922077922078,0.4267515923566878,0.372,0.435064935064935,35
70,dataset2_honeybee,random_forest,centered48_balanced,hog16_pca_hsv_lbp,d2_rf_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.9,4,0.25,1.25,0.4488977955911823,0.172,0.3720930232558139,0.188376753507014,0.302,0.1561461794019933,125
71,dataset2_honeybee,rbf_svm,centered48_balanced,hog8_pca_hsv_lbp,d2_rbfsvm_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.9,4,0.3,1.0,0.4478764478764478,0.604,0.5780730897009967,0.332046332046332,0.694,0.4285714285714285,89
72,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_pca_hsv_lbp,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.9,4,0.3,1.25,0.447457627118644,0.314,0.4385382059800664,0.2101694915254237,0.454,0.2059800664451827,113
73,dataset1_varroa,rbf_svm,centered80_balanced,hog8_pca_hsv_lbp,d1_rbfsvm_005__centered80_balanced__hog8_pca_hsv_lbp.joblib,1.3,4,0.25,1.0,0.4470938897168405,0.426,0.487012987012987,0.4321907600596125,0.436,0.4707792207792208,29
74,dataset1_varroa,rbf_svm,centered80_balanced,hog8_pca_hsv_lbp,d1_rbfsvm_005__centered80_balanced__hog8_pca_hsv_lbp.joblib,1.3,4,0.3,1.0,0.4470938897168405,0.426,0.487012987012987,0.4321907600596125,0.436,0.4707792207792208,30
75,dataset1_varroa,linear_svm,centered80_balanced,hog16_pca_hsv_lbp,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,1.8,4,0.25,1.25,0.4466666666666667,0.782,0.6525974025974026,0.4288888888888889,0.798,0.6266233766233766,33
76,dataset1_varroa,linear_svm,centered80_balanced,hog16_pca_hsv_lbp,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,1.8,4,0.3,1.25,0.4466666666666667,0.782,0.6525974025974026,0.4288888888888889,0.798,0.6266233766233766,34
77,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_hsv_lbp,d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.8,4,0.25,1.25,0.4466338259441708,0.344,0.4518272425249169,0.2003284072249589,0.494,0.2026578073089701,116
78,dataset2_honeybee,linear_svm,centered48_balanced,hog16_hsv_lbp,d2_linsvm_004__centered48_balanced__hog16_hsv_lbp.joblib,0.9,4,0.3,1.0,0.4464023494860499,0.456,0.5049833887043189,0.3142437591776799,0.546,0.3554817275747508,100
79,dataset1_varroa,rbf_svm,centered80_balanced,hog8_pca_hsv_lbp,d1_rbfsvm_005__centered80_balanced__hog8_pca_hsv_lbp.joblib,1.3,4,0.2,1.0,0.4458598726114649,0.36,0.4545454545454545,0.4299363057324841,0.37,0.4383116883116883,31
80,dataset1_varroa,rbf_svm,centered96_balanced,hog16_pca_hsv_lbp,d1_rbfsvm_002__centered96_balanced__hog16_pca_hsv_lbp.joblib,1.3,4,0.25,1.0,0.4447552447552448,0.496,0.5162337662337663,0.4195804195804196,0.514,0.487012987012987,40
81,dataset1_varroa,rbf_svm,centered96_balanced,hog16_pca_hsv_lbp,d1_rbfsvm_002__centered96_balanced__hog16_pca_hsv_lbp.joblib,1.3,4,0.3,1.0,0.4447552447552448,0.496,0.5162337662337663,0.4195804195804196,0.514,0.487012987012987,41
82,dataset1_varroa,linear_svm,centered80_balanced,hog16_pca_hsv_lbp,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,1.8,4,0.25,1.0,0.4444444444444444,0.784,0.6493506493506493,0.4377777777777777,0.79,0.6396103896103896,27
83,dataset1_varroa,linear_svm,centered80_balanced,hog16_pca_hsv_lbp,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,1.8,4,0.3,1.0,0.4444444444444444,0.784,0.6493506493506493,0.4377777777777777,0.79,0.6396103896103896,28
84,dataset2_honeybee,random_forest,centered48_balanced,hog16_pca_hsv_lbp,d2_rf_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.9,4,0.3,1.25,0.4418145956607495,0.188,0.3720930232558139,0.185404339250493,0.318,0.1561461794019933,127
85,dataset2_honeybee,linear_svm,centered48_balanced,hog16_pca_hsv_lbp,d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.8,4,0.25,1.0,0.4417009602194787,0.534,0.5348837209302325,0.3209876543209876,0.622,0.388704318936877,97
86,dataset1_varroa,rbf_svm,centered96_balanced,hog16_pca_hsv_lbp,d1_rbfsvm_002__centered96_balanced__hog16_pca_hsv_lbp.joblib,1.3,4,0.2,1.25,0.4414003044140031,0.408,0.4707792207792208,0.3135464231354642,0.492,0.3344155844155844,101
87,dataset1_varroa,rbf_svm,centered80_balanced,hog8_pca_hsv_lbp,d1_rbfsvm_005__centered80_balanced__hog8_pca_hsv_lbp.joblib,1.3,4,0.25,1.25,0.4411326378539493,0.43,0.4805194805194805,0.4232488822652757,0.442,0.461038961038961,38
88,dataset1_varroa,rbf_svm,centered80_balanced,hog8_pca_hsv_lbp,d1_rbfsvm_005__centered80_balanced__hog8_pca_hsv_lbp.joblib,1.3,4,0.3,1.25,0.4411326378539493,0.43,0.4805194805194805,0.4232488822652757,0.442,0.461038961038961,39
89,dataset2_honeybee,linear_svm,centered48_balanced,hog8_pca_hsv_lbp,d2_linsvm_008__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.7,4,0.2,1.0,0.4409448818897638,0.586,0.5581395348837209,0.3149606299212598,0.682,0.3986710963455149,99
90,dataset1_varroa,random_forest,centered80_balanced,hsv_lbp_only,d1_rf_009__centered80_balanced__hsv_lbp_only.joblib,0.99,4,0.2,1.25,0.4401114206128133,0.504,0.512987012987013,0.3481894150417827,0.57,0.4058441558441558,77
91,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_hsv_lbp,d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.8,4,0.3,1.25,0.4394904458598726,0.378,0.4584717607973422,0.1942675159235668,0.532,0.2026578073089701,121
